#i,j,r,g,b
117,274,224,224,224

118,273,224,224,224
116,272,224,224,224

119,297,207,207,207
120,302,207,207,207

119,297,207,207,207
121,303,207,207,207

119,297,207,207,207
123,292,207,207,207

119,264,216,216,216
120,263,216,216,216

119,264,216,216,216
122,267,216,216,216

119,264,216,216,216
114,266,216,216,216

119,197,135,135,135
120,194,135,135,135

119,197,135,135,135
123,199,135,135,135

119,197,135,135,135
126,194,135,135,135

119,152,139,139,139
116,147,139,139,139

119,152,139,139,139
125,150,139,139,139

119,152,139,139,139
132,147,139,139,139

120,302,185,185,185
121,303,185,185,185

120,302,185,185,185
119,297,185,185,185

120,302,185,185,185
126,305,185,185,185

120,263,220,220,220
119,264,220,220,220

120,263,220,220,220
122,267,220,220,220

120,263,220,220,220
117,259,220,220,220

120,247,200,200,200
117,246,200,200,200

120,247,200,200,200
116,244,200,200,200

120,247,200,200,200
122,252,200,200,200

120,194,66,66,66
119,197,66,66,66

120,194,66,66,66
123,199,66,66,66

120,194,66,66,66
126,194,66,66,66

121,303,131,131,131
120,302,131,131,131

121,303,131,131,131
126,305,131,131,131

121,303,131,131,131
119,297,131,131,131

122,280,233,233,233
122,277,233,233,233

122,280,233,233,233
125,283,233,233,233

122,280,233,233,233
126,283,233,233,233

122,277,232,232,232
122,280,232,232,232

122,277,232,232,232
118,273,232,232,232

122,277,232,232,232
117,274,232,232,232

122,267,228,228,228
123,268,228,228,228

122,267,228,228,228
123,270,228,228,228

122,267,228,228,228
119,264,228,228,228

122,252,218,218,218
120,247,218,218,218

122,252,218,218,218
115,255,218,218,218

122,252,218,218,218
117,246,218,218,218

122,232,178,178,178
131,223,178,178,178

122,232,178,178,178
129,221,178,178,178

122,232,178,178,178
116,244,178,178,178

122,177,120,120,120
126,180,120,120,120

122,177,120,120,120
123,183,120,120,120

122,177,120,120,120
127,172,120,120,120

123,339,238,238,238
128,340,238,238,238

123,339,238,238,238
127,335,238,238,238

123,339,238,238,238
128,342,238,238,238

123,325,177,177,177
128,326,177,177,177

123,325,177,177,177
125,320,177,177,177

123,325,177,177,177
129,320,177,177,177

123,292,219,219,219
125,294,219,219,219

123,292,219,219,219
119,297,219,219,219

123,292,219,219,219
130,291,219,219,219

123,270,214,214,214
123,268,214,214,214

123,270,214,214,214
122,267,214,214,214

123,270,214,214,214
118,273,214,214,214

123,268,218,218,218
122,267,218,218,218

123,268,218,218,218
123,270,218,218,218

123,268,218,218,218
119,264,218,218,218

123,199,184,184,184
119,197,184,184,184

123,199,184,184,184
127,197,184,184,184

123,199,184,184,184
120,194,184,184,184

123,188,178,178,178
123,183,178,178,178

123,188,178,178,178
120,194,178,178,178

123,188,178,178,178
126,194,178,178,178

123,183,162,162,162
126,180,162,162,162

123,183,162,162,162
123,188,162,162,162

123,183,162,162,162
122,177,162,162,162

125,345,201,201,201
128,342,201,201,201

125,345,201,201,201
128,340,201,201,201

125,345,201,201,201
123,339,201,201,201

125,320,233,233,233
127,317,233,233,233

125,320,233,233,233
129,320,233,233,233

125,320,233,233,233
123,325,233,233,233

125,294,250,250,250
123,292,250,250,250

125,294,250,250,250
130,291,250,250,250

125,294,250,250,250
