i1,j1,i2,j2,r,g,b
148,281,152,288,215,215,215
148,306,147,302,93,93,93
148,306,144,308,93,93,93
148,306,154,307,93,93,93
148,324,149,323,255,255,255
148,324,153,323,255,255,255
148,324,142,326,255,255,255
148,364,146,363,238,238,238
148,364,145,366,238,238,238
148,364,150,359,238,238,238
148,415,147,413,252,252,252
148,415,152,412,252,252,252
148,415,140,419,252,252,252
148,518,151,517,200,200,200
148,518,145,516,200,200,200
148,518,152,520,200,200,200
149,323,148,324,196,196,196
149,323,153,323,196,196,196
149,323,155,322,196,196,196
149,431,151,431,232,232,232
149,431,152,430,232,232,232
149,431,146,433,232,232,232
149,437,146,433,230,230,230
149,437,149,431,230,230,230
149,437,151,431,230,230,230
149,468,150,466,223,223,223
149,468,151,467,223,223,223
149,468,151,470,223,223,223
149,472,151,470,210,210,210
149,472,149,468,210,210,210
149,472,153,471,210,210,210
150,278,148,281,192,192,192
150,278,154,272,192,192,192
150,278,152,288,192,192,192
150,331,148,324,229,229,229
150,331,143,335,229,229,229
150,331,149,323,229,229,229
150,359,148,364,220,220,220
150,359,146,363,220,220,220
150,359,145,366,220,220,220
150,466,151,467,226,226,226
150,466,149,468,226,226,226
150,466,146,467,226,226,226
151,380,155,376,219,219,219
151,380,154,375,219,219,219
151,380,147,385,219,219,219
151,431,152,430,245,245,245
151,431,149,431,245,245,245
151,431,153,432,245,245,245
151,467,150,466,224,224,224
151,467,149,468,224,224,224
151,467,151,470,224,224,224
151,470,153,471,220,220,220
151,470,149,468,220,220,220
151,470,149,472,220,220,220
151,517,148,518,177,177,177
151,517,152,520,177,177,177
151,517,153,520,177,177,177
151,547,155,545,124,124,124
151,547,145,548,124,124,124
151,547,145,545,124,124,124
152,288,152,289,173,173,173
152,288,145,288,173,173,173
152,288,148,281,173,173,173
152,289,152,288,211,211,211
152,289,145,288,211,211,211
152,289,148,281,211,211,211
152,412,148,415,223,223,223
152,412,147,413,223,223,223
152,412,153,406,223,223,223
152,430,151,431,239,239,239
152,430,153,429,239,239,239
152,430,153,432,239,239,239
152,459,153,460,197,197,197
152,459,154,459,197,197,197
152,459,155,461,197,197,197
152,520,153,520,165,165,165
152,520,154,522,165,165,165
152,520,151,517,165,165,165
153,323,155,322,142,142,142
153,323,156,321,142,142,142
153,323,149,323,142,142,142
153,350,156,350,207,207,207
153,350,156,348,207,207,207
153,350,150,359,207,207,207
153,395,156,390,74,74,74
153,395,159,401,74,74,74
153,395,158,402,74,74,74
153,406,155,406,238,238,238
153,406,152,412,238,238,238
153,406,159,404,238,238,238
153,429,152,430,243,243,243
153,429,151,431,243,243,243
153,429,153,432,243,243,243
153,432,151,431,237,237,237
153,432,152,430,237,237,237
153,432,153,429,237,237,237
153,460,152,459,218,218,218
153,460,154,459,218,218,218
153,460,155,461,218,218,218
153,471,151,470,216,216,216
153,471,155,472,216,216,216
153,471,156,469,216,216,216
153,520,152,520,184,184,184
153,520,154,522,184,184,184
153,520,155,519,184,184,184
154,272,157,268,181,181,181
154,272,150,278,181,181,181
154,272,161,278,181,181,181
154,307,155,306,201,201,201
154,307,148,306,201,201,201
154,307,147,302,201,201,201
154,375,155,376,227,227,227
154,375,156,373,227,227,227
154,375,151,380,227,227,227
154,459,153,460,215,215,215
154,459,152,459,215,215,215
154,459,155,461,215,215,215
154,477,156,476,235,235,235
154,477,155,472,235,235,235
154,477,153,471,235,235,235
154,511,160,512,192,192,192
154,511,151,517,192,192,192
154,511,155,519,192,192,192
154,522,153,520,190,190,190
154,522,152,520,190,190,190
154,522,156,520,190,190,190
155,306,154,307,215,215,215
155,306,148,306,215,215,215
155,306,159,300,215,215,215
155,322,156,321,244,244,244
155,322,153,323,244,244,244
155,322,157,320,244,244,244
155,376,154,375,243,243,243
155,376,156,373,243,243,243
155,376,151,380,243,243,243
155,406,153,406,227,227,227
155,406,159,404,227,227,227
155,406,158,402,227,227,227
155,461,156,462,195,195,195
155,461,153,460,195,195,195
155,461,154,459,195,195,195
155,466,156,464,214,214,214
155,466,156,469,214,214,214
155,466,151,467,214,214,214
155,472,153,471,225,225,225
155,472,156,469,225,225,225
155,472,156,476,225,225,225
155,519,156,520,205,205,205
155,519,153,520,205,205,205
155,519,152,520,205,205,205
155,545,151,547,150,150,150
155,545,159,549,150,150,150
155,545,145,545,150,150,150
156,321,155,322,225,225,225
156,321,157,320,225,225,225
156,321,153,323,225,225,225
156,348,156,350,241,241,241
156,348,153,350,241,241,241
156,348,163,342,241,241,241
156,350,156,348,221,221,221
156,350,153,350,221,221,221
156,350,163,342,221,221,221
156,373,154,375,240,240,240
156,373,155,376,240,240,240
156,373,157,369,240,240,240
156,390,153,395,229,229,229
156,390,160,382,229,229,229
156,390,163,383,229,229,229
156,462,157,462,202,202,202
156,462,155,461,202,202,202
156,462,156,464,202,202,202
156,464,156,462,226,226,226
156,464,155,466,226,226,226
156,464,157,462,226,226,226
156,469,155,466,215,215,215
156,469,155,472,215,215,215
156,469,153,471,215,215,215
156,476,154,477,218,218,218
156,476,155,472,218,218,218
156,476,153,471,218,218,218
156,520,155,519,212,212,212
156,520,154,522,212,212,212
156,520,153,520,212,212,212
157,268,154,272,231,231,231
157,268,162,267,231,231,231
157,268,163,265,231,231,231
157,320,156,321,231,231,231
157,320,155,322,231,231,231
157,320,158,316,231,231,231
157,369,159,367,215,215,215
157,369,156,373,215,215,215
157,369,154,375,215,215,215
157,427,153,429,246,246,246
157,427,160,431,246,246,246
157,427,152,430,246,246,246
157,462,156,462,217,217,217
157,462,155,461,217,217,217
157,462,156,464,217,217,217
158,255,168,252,225,225,225
158,255,163,265,225,225,225
158,255,162,267,225,225,225
158,297,160,295,136,136,136
158,297,159,300,136,136,136
158,297,162,290,136,136,136
158,316,157,320,235,235,235
158,316,156,321,235,235,235
158,316,155,322,235,235,235
158,402,159,401,234,234,234
158,402,159,404,234,234,234
158,402,155,406,234,234,234
